93,138,168
229,43,80
255,126,0
153,102,204
75,83,32
59,68,75
123,160,91
109,53,26
0,0,255
51,51,153
2,71,254
138,43,226
121,68,59
0,149,182
181,166,66
255,0,127
0,66,37
150,75,0
128,0,32
204,85,0
138,51,36
112,41,99
89,39,32
150,0,24
0,123,167
42,82,190
70,70,70
123,63,0
210,105,30
0,71,171
184,115,51
153,102,102
137,63,69
0,0,139
101,67,33
8,69,126
152,105,96
184,134,11
1,50,32
139,0,139
3,192,60
86,3,25
47,79,79
23,114,69
145,129,81
148,0,211
185,78,72
153,85,187
21,96,189
0,0,156
16,52,166
102,0,255
191,0,255
80,200,120
128,24,24
77,93,83
79,121,66
34,139,34
178,34,34
128,24,24
153,101,21
0,128,0
70,89,69
0,165,80
82,24,250
53,94,59
19,136,8
0,65,106
75,0,130
0,47,167
0,144,0
0,168,107
41,171,135
192,64,0
96,80,220
11,218,81
128,0,0
176,48,96
103,76,71
0,73,83
175,64,53
25,25,112
33,66,30
0,102,51
0,0,128
28,57,187
0,166,147
50,18,122
1,121,111
127,0,127
80,64,77
115,74,18
0,49,83
107,63,160
128,70,27
146,0,10
8,37,103
46,139,87
0,158,96
0,51,153
0,128,128
102,2,60
18,10,143
174,22,32
64,130,109
2,71,54
15,77,146
